name,pointsource,description,digitalset,engunits,exdesc,future,pointtype,ptclassname,sourcetag,archiving,compressing,span,step,zero,changedate,changer,creationdate,creator,pointid,instrumentag
,L,,,,,0,Float64,base,,1,1,100,0,0,01/07/2019 18:30:25,RDXPISANDBOX\zachary.burke,01/07/2019 18:30:25,RDXPISANDBOX\zachary.burke,887,
,L,,,,,0,Float64,base,,1,1,100,0,0,01/07/2019 18:56:08,piadmin,01/07/2019 18:56:08,piadmin,888,
,L,,,,,0,Float64,base,,1,1,100,0,0,01/07/2019 18:56:08,piadmin,01/07/2019 18:56:08,piadmin,889,
,L,,,,,0,Float64,base,,1,1,100,0,0,01/07/2019 19:12:10,piadmin,01/07/2019 19:12:10,piadmin,890,
,L,,,,,0,Float64,base,,1,1,100,0,0,01/07/2019 19:12:25,piadmin,01/07/2019 19:12:25,piadmin,891,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1336,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:33,piadmin,10/12/2019 19:02:33,piadmin,1319,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1339,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 01:02:03,piadmin,22/11/2019 01:02:03,piadmin,1297,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:42:33,piadmin,22/11/2019 00:42:33,piadmin,1280,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:32:36,piadmin,22/11/2019 00:32:36,piadmin,1277,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:32:36,piadmin,22/11/2019 00:32:36,piadmin,1279,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 01:02:03,piadmin,22/11/2019 01:02:03,piadmin,1299,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:45:54,piadmin,22/11/2019 00:45:54,piadmin,1282,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:32:36,piadmin,22/11/2019 00:32:36,piadmin,1276,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:32:36,piadmin,22/11/2019 00:32:36,piadmin,1278,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 01:02:03,piadmin,22/11/2019 01:02:03,piadmin,1298,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 00:45:54,piadmin,22/11/2019 00:45:54,piadmin,1281,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 22:48:33,piadmin,21/11/2019 22:48:33,piadmin,1256,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 01:02:03,piadmin,22/11/2019 01:02:03,piadmin,1295,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 22:48:33,piadmin,21/11/2019 22:48:33,piadmin,1254,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 23:34:45,piadmin,21/11/2019 23:34:45,piadmin,1269,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 22:48:33,piadmin,21/11/2019 22:48:33,piadmin,1255,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 23:34:45,piadmin,21/11/2019 23:34:45,piadmin,1270,
,L,,,,,0,Float64,base,,1,1,100,0,0,22/11/2019 01:02:03,piadmin,22/11/2019 01:02:03,piadmin,1296,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 22:48:33,piadmin,21/11/2019 22:48:33,piadmin,1257,
,L,,BatchAct,STATE,,0,Digital,classic,,1,1,1,1,1,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,9,
,9,,,DEG. C,(20,20) (21,23) (10,40) (20,44),0,Float32,classic,,1,1,200,0,0,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,8,
,9,,,,(10,20) ( 7,20) (21,40) (10,40) (10,30) (5,10) (8,0),0,Float32,classic,,1,1,100,0,0,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,7,
,L,,Phases,STATE,,0,Digital,classic,,1,1,7,1,2,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,10,
,9,,,,(10,20) (7,20) (21,20) (9,49) (11,20) (4,10) (9,0),0,Float32,classic,,1,1,100,0,0,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,6,
,PIBatch-InternalUse-1,,,,,0,String,base,,1,0,100,1,0,10/07/2018 14:09:56,piadmin,10/07/2018 14:09:56,piadmin,11,
,PIAnalysisService,,,,,0,Int32,base,,1,0,5,0,0,04/04/2019 18:52:44,RDXPISANDBOX\bjorn.johnson,04/04/2019 18:52:44,RDXPISANDBOX\bjorn.johnson,572,
,R,,,,,0,Float32,classic,,1,1,100,0,0,25/10/2018 13:51:57,RDXPISANDBOX\ben.perez,25/10/2018 13:47:48,RDXPISANDBOX\ben.perez,463,
,R,,,,,0,Int32,classic,,1,1,400,0,0,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,5,
,R,,Modes,STATE,,0,Digital,classic,,1,1,4,1,3,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,4,
,R,,,DEG. C,,0,Float32,classic,,1,1,200,0,50,10/07/2018 04:52:09,piadmin,10/07/2018 04:52:09,piadmin,3,
,PIAnalysisService,,,,,0,String,base,,1,0,5,1,0,25/02/2019 20:25:06,RDXPISANDBOX\bjorn.johnson,25/02/2019 20:25:06,RDXPISANDBOX\bjorn.johnson,565,
,R,,,,,0,Float32,classic,,1,0,98,1,0,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,68,
,R,,,,,0,Float32,classic,,1,0,70,1,32,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,69,
,R,,,,,0,Float32,classic,,1,0,1300,1,1100,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,70,
,R,,,,,0,Float32,classic,,1,0,25,1,21,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,71,
,R,,,,,0,Float32,classic,,1,0,89,1,15,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,72,
,R,,,,,0,Float32,classic,,1,0,32,1,2,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,73,
,R,,,,,0,Float32,classic,,1,0,98,1,2,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,62,
,R,,,,,0,Float32,classic,,1,0,68,1,30,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,63,
,R,,,,,0,Float32,classic,,1,0,1500,1,1300,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,64,
,R,,,,,0,Float32,classic,,1,0,35,1,25,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,65,
,R,,,,,0,Float32,classic,,1,0,57,1,53,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,66,
,R,,,,,0,Float32,classic,,1,0,34,1,6,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:16,RDXPISANDBOX\zachary.burke,67,
,R,,,,,0,Float32,classic,,1,0,94,1,4,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,50,
,R,,,,,0,Float32,classic,,1,0,77,1,33,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,51,
,R,,,,,0,Float32,classic,,1,0,1350,1,1250,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,52,
,R,,,,,0,Float32,classic,,1,0,22,1,18,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,53,
,R,,,,,0,Float32,classic,,1,0,95,1,21,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,54,
,R,,,,,0,Float32,classic,,1,0,33,1,7,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,55,
,R,,,,,0,Float32,classic,,1,0,95,1,7,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,56,
,R,,,,,0,Float32,classic,,1,0,70,1,28,01/08/2018 21:08:07,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,57,
,R,,,,,0,Float32,classic,,1,0,1250,1,1150,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,58,
,R,,,,,0,Float32,classic,,1,0,37,1,23,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,59,
,R,,,,,0,Float32,classic,,1,0,60,1,38,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,60,
,R,,,,,0,Float32,classic,,1,0,35,1,5,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,61,
,R,,,,,0,Float32,classic,,1,0,102,1,100,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,44,
,R,,,,,0,Float32,classic,,1,0,67,1,25,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,45,
,R,,,,,0,Float32,classic,,1,0,1568,1,1232,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,46,
,R,,,,,0,Float32,classic,,1,0,32,1,20,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,47,
,R,,,,,0,Float32,classic,,1,0,78,1,20,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,48,
,R,,,,,0,Float32,classic,,1,0,30,1,2,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,49,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:33,piadmin,10/12/2019 19:02:33,piadmin,1321,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:33,piadmin,10/12/2019 19:02:33,piadmin,1320,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1334,
,PICampaign-InternalUse-1,,,,,0,String,base,,1,0,100,1,0,10/07/2018 14:09:56,piadmin,10/07/2018 14:09:56,piadmin,13,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 21:57:44,piadmin,21/11/2019 21:57:44,piadmin,1252,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 21:57:44,piadmin,21/11/2019 21:57:44,piadmin,1253,
,L,,,,,0,Float32,classic,,1,1,100,0,0,30/10/2018 14:38:58,RDXPISANDBOX\zachary.burke,30/10/2018 14:38:58,RDXPISANDBOX\zachary.burke,465,
,PITransferRecords-InternalUse-1,,,,,0,String,base,,1,0,100,1,0,10/07/2018 14:09:56,piadmin,10/07/2018 14:09:56,piadmin,12,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1338,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1340,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1342,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,418,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,335,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,320,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,253,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,220,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,157,
